@relation out.arff_feaSele

@attribute Fea0 numeric
@attribute Fea1 numeric
@attribute Fea2 numeric
@attribute Fea3 numeric
@attribute Fea4 numeric
@attribute Fea5 numeric
@attribute Fea6 numeric
@attribute Fea7 numeric
@attribute Fea8 numeric
@ATTRIBUTE class {0,1} 

@data
0.522807,0.5576922,0.46250004,0.60923076,0.5458333,0.53571427,0.47619048,0.47777778,0.5,0
0.48421055,0.46153846,0.425,0.4553846,0.4416667,0.5595238,0.4761905,0.48888886,0.47142857,0
0.45263153,0.48901096,0.4708334,0.4861538,0.5,0.54761904,0.52380955,0.5,0.5142857,0
0.5122807,0.48351645,0.49375004,0.4553846,0.45000002,0.5119048,0.5714286,0.56666666,0.5142857,0
0.48421052,0.44505495,0.4875,0.50153846,0.5125,0.60714287,0.5714286,0.5111111,0.4857143,0
0.49473682,0.48076922,0.46041667,0.51384616,0.48333335,0.52380955,0.45238096,0.44444448,0.4857143,0
0.45964915,0.48076922,0.43750003,0.5046154,0.4666667,0.47619048,0.4761905,0.4777778,0.4857143,0
0.44912285,0.4313187,0.43958336,0.42461538,0.4375,0.54761904,0.45238096,0.44444448,0.5285715,0
0.48771933,0.47252744,0.475,0.42461538,0.44583333,0.5357143,0.6904761,0.62222224,0.47142857,0
0.5403509,0.5824176,0.49375,0.5969231,0.57500005,0.5119048,0.5,0.45555553,0.5,0
0.44912282,0.45604396,0.40000004,0.48923075,0.5708333,0.5714286,0.50000006,0.4888889,0.5142857,0
0.51578945,0.49999997,0.51250005,0.5292308,0.48333335,0.48809525,0.5714286,0.56666666,0.51428574,0
0.50526315,0.5412088,0.47708336,0.5507692,0.5208333,0.49999997,0.5714286,0.51111114,0.44285718,0
0.46315792,0.4587912,0.5,0.4830769,0.5083333,0.52380955,0.5714286,0.5222222,0.51428574,0
0.5929825,0.5412088,0.51666665,0.48307693,0.49583337,0.48809525,0.5,0.4777778,0.44285712,0
0.51578945,0.4917582,0.5083333,0.5630769,0.47916666,0.57142854,0.47619048,0.4888889,0.5428571,0
0.4350877,0.47252744,0.45208338,0.55692303,0.55833334,0.6309524,0.54761904,0.5,0.5285714,0
0.50877196,0.48626372,0.48125,0.52000004,0.49166667,0.64285713,0.5,0.53333336,0.59999996,0
0.53333336,0.49450547,0.55625,0.46769235,0.4416667,0.5714286,0.5,0.44444448,0.5142857,0
0.4526316,0.4752747,0.47083333,0.4184615,0.48749998,0.5714286,0.54761904,0.47777778,0.54285717,0
0.5719298,0.53846157,0.52708334,0.55076927,0.53749996,0.5952381,0.64285713,0.6111111,0.54285717,0
0.5122807,0.5494505,0.49375,0.61538464,0.5625,0.46428573,0.52380955,0.53333336,0.42857143,0
0.47368422,0.5054945,0.45,0.52307695,0.50416666,0.54761904,0.4761905,0.4222222,0.44285712,0
0.5789473,0.5384615,0.5875,0.52615386,0.56666666,0.48809525,0.59523815,0.61111104,0.5,0
0.554386,0.5961538,0.58125,0.56307685,0.6125,0.47619048,0.64285713,0.6666667,0.5285715,0
0.50175434,0.54395604,0.53749996,0.52000004,0.55,0.4880952,0.5714286,0.5,0.51428574,0
0.47368422,0.46703294,0.48333338,0.51076925,0.48750004,0.48809525,0.52380955,0.5,0.42857143,0
0.50175434,0.47527465,0.45416662,0.53846157,0.5416667,0.48809525,0.45238093,0.41111115,0.50000006,0
0.51929826,0.47802195,0.44375,0.44307694,0.45833334,0.5833333,0.54761904,0.5222222,0.55714285,0
0.50526315,0.47252747,0.4916667,0.5076923,0.53749996,0.45238099,0.54761904,0.5222222,0.45714286,0
0.5017544,0.52472526,0.43125,0.5076923,0.58750004,0.54761904,0.5,0.44444448,0.64285713,0
0.46315792,0.48626372,0.45208332,0.47384614,0.47916666,0.5595238,0.5,0.44444448,0.5142857,0
0.48771933,0.53021973,0.52708334,0.52307695,0.4958333,0.47619045,0.5,0.45555556,0.44285718,0
0.55789477,0.521978,0.49583337,0.49538463,0.5083333,0.46428573,0.4761905,0.4222222,0.4571429,0
0.46666667,0.48901096,0.44583333,0.52307695,0.5208334,0.5357143,0.54761904,0.46666667,0.4857143,0
0.48070177,0.4752747,0.46875,0.52615386,0.48333332,0.65476185,0.54761904,0.58888894,0.5714286,0
0.43508774,0.41758242,0.38958332,0.4769231,0.41666663,0.45238093,0.5,0.5222222,0.44285718,0
0.48421052,0.52747256,0.45208335,0.5261538,0.5416667,0.6309524,0.52380955,0.4777778,0.55714285,0
0.43859652,0.45604393,0.43333334,0.4769231,0.4666667,0.5119048,0.47619048,0.43333334,0.4857143,0
0.46666667,0.44230768,0.45416668,0.48615387,0.52916664,0.54761904,0.59523815,0.53333336,0.50000006,0
0.5438596,0.52197796,0.56875,0.5292308,0.5125,0.5,0.4761905,0.44444448,0.5142857,0
0.4210526,0.4313187,0.39166668,0.4153846,0.45833334,0.53571427,0.4761905,0.4888889,0.4571429,0
0.5859649,0.5604395,0.6104167,0.56923074,0.6125,0.6547619,0.6666667,0.58888894,0.5857143,0
0.5578947,0.5192307,0.47291672,0.4830769,0.4958333,0.7261905,0.5238095,0.5111111,0.6428571,0
0.6210527,0.5906593,0.5583334,0.5630769,0.5083333,0.4642857,0.42857143,0.46666667,0.5285715,0
0.52982455,0.5082417,0.5520833,0.5661538,0.6166667,0.5595238,0.45238093,0.43333334,0.48571426,0
0.5122807,0.4752747,0.5,0.48615387,0.48333335,0.5238095,0.4761905,0.47777778,0.4857143,0
0.54736835,0.5384615,0.50624996,0.51076925,0.57916665,0.5952381,0.47619048,0.4888889,0.54285717,0
0.46666667,0.4615384,0.4625,0.44307694,0.5083334,0.6904762,0.52380955,0.4777778,0.5714286,0
0.4701754,0.48901096,0.48749998,0.4923077,0.4916667,0.6547619,0.5,0.5,0.6,0
0.44912282,0.42582417,0.47291672,0.4923077,0.525,0.5119048,0.52380955,0.4888889,0.5714286,0
0.48421055,0.5027472,0.45208335,0.47384614,0.42499998,0.47619045,0.6904761,0.61111104,0.51428574,0
0.4912281,0.53296703,0.51458335,0.61230767,0.5875,0.5952381,0.4761905,0.47777778,0.55714285,0
0.5263158,0.5027472,0.50625,0.5446153,0.5208334,0.47619048,0.5,0.50000006,0.5,0
0.43859646,0.45604393,0.40000004,0.49538457,0.46666667,0.60714287,0.45238096,0.4,0.55714285,0
0.4526316,0.48351645,0.425,0.4523077,0.5083334,0.54761904,0.45238096,0.4777778,0.55714285,0
0.48070177,0.53571427,0.5333333,0.49538466,0.4958333,0.5595238,0.5,0.43333334,0.5,0
0.45964912,0.48626372,0.49583334,0.52615386,0.59583336,0.5119048,0.50000006,0.5222222,0.4857143,0
0.49824566,0.53571427,0.48125005,0.49846157,0.46666667,0.60714287,0.5,0.46666667,0.5857143,0
0.43157896,0.45054942,0.43125004,0.4523077,0.4416667,0.47619045,0.54761904,0.47777778,0.5428571,0
0.47368422,0.45054942,0.40625003,0.4984615,0.4958333,0.5714286,0.54761904,0.4777778,0.4857143,0
0.43157896,0.46153846,0.40833333,0.4553846,0.42083332,0.5833334,0.4761905,0.51111114,0.4857143,0
